Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
10.0,Diogo Dias,Right Winger,"Dec 11, 2003 ",20,Portugal,Portugal,Matosinhos,"1,83",-,Striker,LW,Portugal,,LW,
30.0,André Candeias,Right Winger,"Jan 20, 2003 ",21,Portugal,Portugal,Faro,"1,76",-,Striker,SS   LW,Portugal,,SS,LW
11.0,João Diamantino,Right Winger,"Sep 16, 2003 ",20,Portugal,Portugal,Gouveia,"1,72",-,Striker,LW,Portugal,,LW,
19.0,João Riça,Right Winger,"Feb 19, 2003 ",21,Portugal,Portugal,Albufeira,,-,Striker,LW,Portugal,,LW,
11.0,Paulo Rodrigues,Right Winger,"Dec 21, 2003 ",20,Portugal,Portugal,,"1,82",-,Striker,LW,Portugal,,LW,
22.0,Kiko,Right Winger,"Aug 26, 2003 ",20,Portugal,Portugal,Vagos,"1,76",-,Striker,,Portugal,,,
,Pedro Caldeira,Right Winger,"Jan 7, 2003 ",21,Portugal,Portugal,Montemor-o-Velho,"1,71",-,Striker,LW,Portugal,,LW,
,Gui Lólis,Right Winger,"Apr 30, 2003 ",21,Portugal,Portugal,Vinhais,,-,Striker,,Portugal,,,
17.0,Kiano Mendonça,Right Winger,"Jul 2, 2003 ",21,Portugal,Portugal,,,-,Striker,,Portugal,,,
17.0,Diogo Sequeira,Right Winger,"Sep 17, 2003 ",20,Portugal,Portugal,Setubal,"1,77",-,Striker,LW   RB,Portugal,,LW,RB
,Rafa Teixeira,Right Winger,"Dec 26, 2003 ",20,Portugal,Portugal,Maia,"1,80",-,Striker,LW,Portugal,,LW,
76.0,Gui Alves,Right Winger,"Mar 24, 2003 ",21,Portugal,Portugal,,"1,78",-,Striker,LW,Portugal,,LW,
,Rodri,Right Winger,"Oct 25, 2003 ",20,Portugal,Portugal,Lisboa,"1,79",-,Striker,AM   LW,Portugal,,AM,LW
27.0,João Silva,Right Winger,"Oct 22, 2003 ",20,Portugal,Portugal,,"1,75",-,Striker,AM   LW,Portugal,,AM,LW
77.0,Rúben Marques,Right Winger,"Mar 1, 2003 ",21,Portugal,Portugal,Porto,"1,78",-,Striker,RB   LW,Portugal,,RB,LW
,Tigas,Right Winger,"Oct 4, 2003 ",20,Portugal,Portugal,Santarem,"1,69",-,Striker,LW,Portugal,,LW,
,Diogo,Right Winger,"Jan 1, 2003 ",21,Andorra,Portugal,Porto,,-,Striker,CF,Andorra,,CF,
18.0,André Silva,Right Winger,"Mar 18, 2003 ",21,Portugal,Portugal,Agueda,"1,83",-,Striker,CF,Portugal,,CF,
,Guilherme Pio,Right Winger,"Sep 22, 2003 ",20,Portugal,Portugal,Portimao,"1,77",-,Striker,CF,Portugal,,CF,
,Diogo Morim,Right Winger,"Apr 9, 2003 ",21,Portugal,Portugal,Vila do Conde,"1,84",-,Striker,RB   LW,Portugal,,RB,LW
,Daniel Silva,Right Winger,"May 4, 2003 ",21,Portugal,Portugal,Funchal,"1,62",-,Striker,LW   CF,Portugal,,LW,CF
20.0,Renato Marques,Right Winger,"Mar 10, 2003 ",21,Portugal,Portugal,,,-,Striker,,Portugal,,,
11.0,João Maga,Right Winger,"Jan 10, 2003 ",21,Portugal,Portugal,Matosinhos,"1,70",-,Striker,RM   LW,Portugal,,RM,LW
21.0,Precatado,Right Winger,"Dec 6, 2004 ",19,Portugal,Portugal,Lousa,"1,74",€300k,Striker,LW,Portugal,,LW,
,Gabriel Carvalho,Right Winger,"Jan 11, 2004 ",20,Portugal,Portugal,Porto,"1,82",€100k,Striker,LW,Portugal,,LW,
76.0,David Gesteiro,Right Winger,"Jun 2, 2004 ",20,Portugal,Portugal,,,-,Striker,RM   RB,Portugal,,RM,RB
87.0,Ricardo Libório,Right Winger,"May 22, 2004 ",20,Portugal,Portugal,Vila Nova de Famalicao,"1,70",-,Striker,LW,Portugal,,LW,
18.0,João Pacheco,Right Winger,"Jan 20, 2004 ",20,Portugal,Portugal,,"1,74",-,Striker,LW,Portugal,,LW,
11.0,Afonso Freitas,Right Winger,"Jul 18, 2004 ",19,Portugal,Portugal,Funchal,,-,Striker,LW,Portugal,,LW,
27.0,Ricardo Fevereiro,Right Winger,"Aug 17, 2004 ",19,Portugal,Portugal,,"1,78",-,Striker,LW,Portugal,,LW,
,Ricardo Ribeiro,Right Winger,"Jan 21, 2004 ",20,Portugal,Portugal,Portimao,,-,Striker,AM   LW,Portugal,,AM,LW
25.0,Nuno Cortes,Right Winger,"May 15, 2004 ",20,Portugal,Portugal,,,-,Striker,,Portugal,,,
,Tomás Esteves,Right Winger,"Feb 14, 2004 ",20,Portugal,Portugal,Fratel,"1,76",-,Striker,,Portugal,,,
17.0,André Saião,Right Winger,"Aug 24, 2004 ",19,Portugal,Portugal,,,-,Striker,AM,Portugal,,AM,
70.0,Simão Duarte,Right Winger,"Jan 8, 2004 ",20,Portugal,Portugal,Almeirim,"1,75",-,Striker,LW,Portugal,,LW,
,Hélder Silva,Right Winger,"Dec 9, 2004 ",19,Portugal,Portugal,Trofa,"1,70",-,Striker,LW   RB,Portugal,,LW,RB
22.0,Xiko Gomes,Right Winger,"Apr 14, 2004 ",20,"Portugal, Venezuela",Portugal,Funchal,"1,75",€200k,Striker,LW,Portugal, Venezuela,LW,
,Rúben Fernandes,Right Winger,"Dec 26, 2004 ",19,Portugal,Portugal,Coimbra,"1,75",€10k,Striker,LW   CF,Portugal,,LW,CF
,Francisco Martim,Right Winger,"Dec 12, 2004 ",19,Portugal,Portugal,Amarante,"1,75",-,Striker,AM   LW,Portugal,,AM,LW
17.0,Gonçalo Alves,Right Winger,"Nov 16, 2004 ",19,Portugal,Portugal,Pacos de Ferreira,"1,85",-,Striker,RB,Portugal,,RB,
17.0,Peixinho,Right Winger,"May 23, 2004 ",20,Portugal,Portugal,Gondomar,"1,85",-,Striker,SS   LW,Portugal,,SS,LW
,Raúl Henriques,Right Winger,"Oct 27, 2004 ",19,Portugal,Portugal,,"1,75",-,Striker,AM   CM,Portugal,,AM,CM
11.0,Guilherme Vaz Pinto,Right Winger,"Aug 11, 2004 ",19,Portugal,Portugal,Penalva do Castelo,"1,72",-,Striker,RB   LW,Portugal,,RB,LW
7.0,Duarte Bonito,Right Winger,"Oct 22, 2004 ",19,Portugal,Portugal,Barreiro,"1,72",-,Striker,LW,Portugal,,LW,
,Renato Damas,Right Winger,"Aug 28, 2004 ",19,Portugal,Portugal,,"1,82",-,Striker,LW,Portugal,,LW,
70.0,Mordomo,Right Winger,"Dec 8, 2004 ",19,"Portugal, Brazil",Portugal,Funchal,"1,81",-,Striker,LW,Portugal, Brazil,LW,
30.0,Diogo Marques,Right Winger,"Jun 18, 2004 ",20,Portugal,Portugal,Beja,"1,69",-,Striker,LW,Portugal,,LW,
,Afonso Reis,Right Winger,"Mar 23, 2004 ",20,Portugal,Portugal,Vila Real de Santo Antonio,"1,70",-,Striker,CF   SS,Portugal,,CF,SS
11.0,Tiago Pinheiro,Right Winger,"Jan 15, 2004 ",20,Portugal,Portugal,Guimaraes,"1,85",-,Striker,CF,Portugal,,CF,
17.0,Geovani Muanza,Right Winger,"Feb 3, 2004 ",20,"Portugal, Angola",Portugal,Almada,"1,70",-,Striker,LW,Portugal, Angola,LW,
8.0,Gonçalo Castro,Right Winger,"May 8, 2004 ",20,Portugal,Portugal,,,-,Striker,,Portugal,,,
,Ricardo Nóbrega,Right Winger,"Mar 13, 2004 ",20,Portugal,Portugal,Funchal,"1,70",-,Striker,LW,Portugal,,LW,
,Kiko,Right Winger,"Sep 10, 2004 ",19,Portugal,Portugal,Guimaraes,,-,Striker,RB,Portugal,,RB,
71.0,Roka,Right Winger,"Jan 28, 2004 ",20,Portugal,Portugal,Espinho,"1,70",-,Striker,LW,Portugal,,LW,
77.0,Edu Santos,Right Winger,"Apr 13, 2004 ",20,Portugal,Portugal,Santa Maria da Feira,,-,Striker,LW,Portugal,,LW,
,André Cunha,Right Winger,"Nov 29, 2005 ",18,Portugal,Portugal,Ponta Delgada,"1,73",-,Striker,LW,Portugal,,LW,
19.0,Pedro Vergueiro,Right Winger,"Apr 10, 2005 ",19,Portugal,Portugal,Mirandela,,-,Striker,LW,Portugal,,LW,
,Sérgio Pendão,Right Winger,"Feb 8, 2005 ",19,Portugal,Portugal,Barreiro,"1,80",-,Striker,LW,Portugal,,LW,
,Lourenço Teixeira,Right Winger,"Mar 14, 2005 ",19,Portugal,Portugal,Beja,"1,75",-,Striker,LW,Portugal,,LW,
,Rúben Semedo,Right Winger,"Jun 2, 2005 ",19,Portugal,Portugal,Coimbra,"1,78",-,Striker,,Portugal,,,
67.0,Rodrigo Rêgo,Right Winger,"Jan 3, 2005 ",19,Portugal,Portugal,Aveiro,"1,73",-,Striker,LW,Portugal,,LW,
,Fernando Ferreira,Right Winger,"Feb 1, 2005 ",19,Portugal,Portugal,Vila do Conde,,-,Striker,,Portugal,,,
,Rúben Lopes,Right Winger,"Jun 6, 2005 ",19,Portugal,Portugal,Guimaraes,"1,77",-,Striker,,Portugal,,,
,Adam Aouissi,Right Winger,"Apr 11, 2005 ",19,Portugal,Portugal,,"1,70",-,Striker,,Portugal,,,
11.0,Pedro Matos,Right Winger,"Oct 27, 2005 ",18,Portugal,Portugal,,,-,Striker,LW,Portugal,,LW,
,Duarte Gil,Right Winger,"Mar 7, 2005 ",19,Portugal,Portugal,Figueira da Foz,,-,Striker,LW,Portugal,,LW,
77.0,Gonçalo Malheiros,Right Winger,"Mar 16, 2005 ",19,Portugal,Portugal,Arouca,,-,Striker,LW,Portugal,,LW,
,Rúben Furtado,Right Winger,"Dec 1, 2005 ",18,Portugal,Portugal,,,-,Striker,LW,Portugal,,LW,
,Carlos Meotti,Right Winger,"Jun 28, 2005 ",19,"Portugal, Brazil",Portugal,,"1,82",-,Striker,LW   AM,Portugal, Brazil,LW,AM
11.0,Pedro Sanca,Right Winger,"Mar 26, 2005 ",19,Portugal,Portugal,,"1,82",-,Striker,LW   AM,Portugal,,LW,AM
,André Oliveira,Second Striker,"Dec 24, 1986 ",37,Portugal,Portugal,Porto,"1,79",-,Striker,AM,Portugal,,AM,
,Bruninho,Second Striker,"Sep 30, 1988 ",35,Portugal,Portugal,Vila Nova de Gaia,"1,79",-,Striker,LW   RW,Portugal,,LW,RW
12.0,Rafa Lopes,Second Striker,"Jul 28, 1991 ",32,Portugal,Portugal,Esposende,"1,85",€350k,Striker,LW   CF,Portugal,,LW,CF
21.0,Ivan Fidalgo,Second Striker,"Apr 4, 1992 ",32,Portugal,Portugal,Coimbra,"1,76",-,Striker,CF   LW,Portugal,,CF,LW
27.0,Rafa,Second Striker,"May 17, 1993 ",30,Portugal,Portugal,Forte da Casa,"1,72",€18.00m,Striker,RW   LW,Portugal,,RW,LW
19.0,Rui Costa,Second Striker,"Feb 20, 1996 ",28,Portugal,Portugal,Vila Nova de Famalicao,"1,79",€700k,Striker,RW   CF,Portugal,,RW,CF
,Bruno Santos,Second Striker,"Sep 15, 1997 ",26,Portugal,Portugal,Lisboa,"1,85",-,Striker,CF,Portugal,,CF,
23.0,Diego Garcia,Second Striker,"Jul 30, 1997 ",26,Portugal,Portugal,Maia,"1,74",-,Striker,RW   LW,Portugal,,RW,LW
,Diogo Santos,Second Striker,"May 9, 1998 ",25,Portugal,Portugal,Vila Nova de Famalicao,,-,Striker,AM,Portugal,,AM,
17.0,Rodrigo Manso,Second Striker,"Jun 6, 1999 ",24,Portugal,Portugal,Funchal,"1,75",-,Striker,LB,Portugal,,LB,
9.0,David Calderon,Second Striker,"Nov 24, 1999 ",24,"Portugal, Spain",Portugal,Lisboa,"1,85",-,Striker,AM   CF,Portugal, Spain,AM,CF
9.0,Diogo Miguel,Second Striker,"Jun 30, 1999 ",24,Portugal,Portugal,Sintra,"1,78",-,Striker,LW,Portugal,,LW,
,Kalika,Second Striker,"Sep 21, 1999 ",24,Portugal,Portugal,Paredes,"1,86",-,Striker,AM   CF,Portugal,,AM,CF
19.0,Tiago Machado,Second Striker,"Aug 10, 2000 ",23,Portugal,Portugal,Moreira de Conegos,"1,71",-,Striker,LW,Portugal,,LW,
9.0,Luís Filipe,Second Striker,"Dec 16, 2000 ",23,Portugal,Portugal,Viseu,,-,Striker,CF   AM,Portugal,,CF,AM
14.0,Rui Reis,Second Striker,"Jan 16, 2001 ",23,Portugal,Portugal,Lisboa,"1,75",-,Striker,CF   LW,Portugal,,CF,LW
21.0,Miguel Carvalho,Second Striker,"Mar 13, 2002 ",22,Portugal,Portugal,,"1,63",-,Striker,AM,Portugal,,AM,
15.0,Afonso Loja,Second Striker,"Sep 15, 2002 ",21,Portugal,Portugal,Olhao,"1,80",-,Striker,AM   CF,Portugal,,AM,CF
9.0,Rui Santos,Second Striker,"Mar 10, 2002 ",22,Portugal,Portugal,Alvalade,"1,78",-,Striker,CF   AM,Portugal,,CF,AM
88.0,Rubi,Second Striker,"Aug 8, 2002 ",21,Portugal,Portugal,Lisboa,"1,69",-,Striker,AM,Portugal,,AM,
9.0,João Guilherme,Second Striker,"May 29, 2002 ",21,Portugal,Portugal,Viseu,"1,87",-,Striker,CF,Portugal,,CF,
11.0,Guilherme Sequeira,Second Striker,"Dec 24, 2003 ",20,Portugal,Portugal,Portimao,"1,78",-,Striker,RW   LW,Portugal,,RW,LW
30.0,Rodrigo Ramos,Second Striker,"Nov 13, 2003 ",20,Portugal,Portugal,Lisboa,"1,70",-,Striker,RW   LW,Portugal,,RW,LW
,Ivo Cruz,Second Striker,"Sep 4, 2004 ",19,Portugal,Portugal,,"1,73",-,Striker,,Portugal,,,
9.0,Guilherme Desembargador,Second Striker,"May 28, 2004 ",19,Portugal,Portugal,Seixal,"1,80",-,Striker,RW   LW,Portugal,,RW,LW
11.0,André Bujaca,Second Striker,"Mar 27, 2004 ",20,Portugal,Portugal,Marinha Grande,"1,74",-,Striker,LW,Portugal,,LW,
7.0,Cristiano Ronaldo,Centre-Forward,"Feb 5, 1985 ",39,Portugal,Portugal,Funchal,"1,88",€15.00m,Striker,LW   RW,Portugal,,LW,RW
,Davide Bessa,Centre-Forward,"Jan 14, 1985 ",39,Portugal,Portugal,Felgueiras,"1,86",-,Striker,,Portugal,,,
,Capela,Centre-Forward,"Aug 2, 1985 ",38,Portugal,Portugal,Santa Maria da Feira,"1,81",-,Striker,RW   AM,Portugal,,RW,AM
,Tiago Borges,Centre-Forward,"Jun 6, 1985 ",39,Portugal,Portugal,Angra do Heroismo,"1,78",-,Striker,LW   RW,Portugal,,LW,RW
,Guilherme Ramos,Centre-Forward,"Jan 7, 1985 ",39,Portugal,Portugal,Lisboa,"1,88",-,Striker,,Portugal,,,
,Rui Augusto,Centre-Forward,"Apr 3, 1985 ",39,Portugal,Portugal,Lisboa,,-,Striker,,Portugal,,,
9.0,Vítor Hugo,Centre-Forward,"Nov 4, 1985 ",38,Portugal,Portugal,Vila Nova de Famalicao,"1,77",-,Striker,,Portugal,,,
,Hugo Carolo,Centre-Forward,"Jun 13, 1985 ",39,Portugal,Portugal,Loures,"1,75",-,Striker,LW,Portugal,,LW,
,Bruno Goncalves,Centre-Forward,"Feb 6, 1985 ",39,Portugal,Portugal,Setubal,"1,82",-,Striker,,Portugal,,,
9.0,Billy,Centre-Forward,"Feb 19, 1985 ",39,Portugal,Portugal,Ponte de Sor,"1,80",-,Striker,RW   LW,Portugal,,RW,LW
22.0,Zé Feio,Centre-Forward,"Sep 28, 1985 ",38,Portugal,Portugal,Alvito,"1,85",-,Striker,,Portugal,,,
,Pedro Rodrigues Duarte,Centre-Forward,"Apr 1, 1985 ",39,Portugal,Portugal,Salvaterra de Magos,,-,Striker,LW   RW,Portugal,,LW,RW
,Amílcar,Centre-Forward,"Jan 4, 1985 ",39,Portugal,Portugal,Grijo,"1,87",-,Striker,RW,Portugal,,RW,
,Bonifácio,Centre-Forward,"Aug 6, 1985 ",38,Portugal,Portugal,Mafra,"1,80",-,Striker,,Portugal,,,
7.0,Carlitos,Centre-Forward,"Jul 23, 1985 ",38,Portugal,Portugal,Espinho,"1,75",-,Striker,RW   LW,Portugal,,RW,LW
,Élio Martins,Centre-Forward,"Mar 26, 1985 ",39,Portugal,Portugal,Machico,"1,85",-,Striker,RW   LW,Portugal,,RW,LW
16.0,Rui Sousa,Centre-Forward,"Sep 2, 1985 ",38,Portugal,Portugal,Beja,"1,90",-,Striker,,Portugal,,,
,Abdul Carrupt,Centre-Forward,"Dec 28, 1985 ",38,"Switzerland, Guinea-Bissau",Portugal,,"1,80",-,Striker,SS   RW,Switzerland, Guinea-Bissau,SS,RW
,Sílvio Andrade,Centre-Forward,"Nov 12, 1986 ",37,Portugal,Portugal,Camara de Lobos,"1,82",-,Striker,SS,Portugal,,SS,
,Roberto Alberto,Centre-Forward,"Jun 1, 1986 ",38,Portugal,Portugal,Portimao,"1,75",-,Striker,,Portugal,,,
,Bruno Gomes,Centre-Forward,"Feb 6, 1986 ",38,Portugal,Portugal,Igreja Nova,"1,96",-,Striker,,Portugal,,,
,Ivo Bastos,Centre-Forward,"Jan 31, 1986 ",38,Portugal,Portugal,Porto,"1,88",-,Striker,,Portugal,,,
,Ivan Sa Borges,Centre-Forward,N/A ,37,,Portugal,Lissabon,,-,Striker,,,,,
,Romeu Torres,Centre-Forward,"Aug 7, 1986 ",37,Portugal,Portugal,Santo Tirso,"1,83",-,Striker,,Portugal,,,
,Cascavél,Centre-Forward,"Oct 3, 1986 ",37,Portugal,Portugal,Guimaraes,"1,84",-,Striker,,Portugal,,,
,Bruno Filipe,Centre-Forward,"Jan 15, 1986 ",38,Portugal,Portugal,Braga,"1,88",-,Striker,,Portugal,,,
,Carlos Saleiro,Centre-Forward,"Feb 25, 1986 ",38,Portugal,Portugal,Lisboa,"1,85",-,Striker,,Portugal,,,
,Carlos Baldé,Centre-Forward,"Sep 21, 1986 ",37,Portugal,Portugal,Lisboa,"1,78",-,Striker,RW   LW,Portugal,,RW,LW
,Ricardo Teixeira,Centre-Forward,"Oct 8, 1986 ",37,Portugal,Portugal,Rebordosa,"1,88",-,Striker,,Portugal,,,
,Jony Ramos,Centre-Forward,"May 12, 1986 ",38,"Sao Tome and Principe, Portugal",Portugal,Lisboa,"1,88",-,Striker,LW,Sao Tome and Principe, Portugal,LW,
,Bruno Soares,Centre-Forward,"May 26, 1986 ",38,Portugal,Portugal,Lisboa,,-,Striker,,Portugal,,,
,Tony Veiga,Centre-Forward,"Jun 13, 1986 ",38,"Portugal, Cape Verde",Portugal,Lisboa,"1,75",-,Striker,SS,Portugal, Cape Verde,SS,
9.0,Marco Véstia,Centre-Forward,"May 2, 1986 ",38,Portugal,Portugal,Barreiro,"1,80",-,Striker,RW,Portugal,,RW,
,Luis Pimenta,Centre-Forward,"Mar 6, 1986 ",38,Portugal,Portugal,Mealhada,"1,75",-,Striker,RW   RM,Portugal,,RW,RM
77.0,Diogo Ramos,Centre-Forward,"Nov 8, 1986 ",37,Portugal,Portugal,Vila Nova de Gaia,"1,83",-,Striker,,Portugal,,,
17.0,João Moreira,Centre-Forward,"Feb 7, 1986 ",38,Portugal,Portugal,Sao Sebastiao,"1,84",-,Striker,,Portugal,,,
,Guima,Centre-Forward,"Mar 11, 1986 ",38,Portugal,Portugal,Santa Maria da Feira,"1,94",-,Striker,SS   AM,Portugal,,SS,AM
,Cícero,Centre-Forward,"May 8, 1986 ",38,"Guinea-Bissau, Portugal",Portugal,Seia,"1,89",-,Striker,,Guinea-Bissau, Portugal,,
,Luís Leal,Centre-Forward,"May 29, 1987 ",37,"Sao Tome and Principe, Portugal",Portugal,Arrentela,"1,76",€50k,Striker,RW   LW,Sao Tome and Principe, Portugal,RW,LW
,Cláudio Pereira,Centre-Forward,"Jan 11, 1987 ",37,Portugal,Portugal,Lobao,,-,Striker,RW,Portugal,,RW,
,Cajó,Centre-Forward,"Oct 29, 1987 ",36,Portugal,Portugal,,"1,80",-,Striker,RW   LW,Portugal,,RW,LW
,Rúben Braga,Centre-Forward,"Aug 4, 1987 ",36,Portugal,Portugal,Almada,"1,72",-,Striker,,Portugal,,,
,Carlos Leonel,Centre-Forward,"Jul 28, 1987 ",36,"Macao, Portugal",Portugal,Ribeira Brava,"1,86",-,Striker,,Macao, Portugal,,
,Ezequiel Cabral Barbosa,Centre-Forward,"Sep 30, 1987 ",36,"Portugal, Cape Verde",Portugal,Lissabon,"1,92",-,Striker,,Portugal, Cape Verde,,
,Jaime Leite,Centre-Forward,"Oct 20, 1987 ",36,Portugal,Portugal,Felgueiras,"1,84",-,Striker,,Portugal,,,
,Bruno Botas,Centre-Forward,"Jan 26, 1987 ",37,Portugal,Portugal,Lissabon,"1,92",-,Striker,,Portugal,,,
,Pirata,Centre-Forward,"Feb 1, 1987 ",37,Portugal,Portugal,Ovar,"1,88",-,Striker,,Portugal,,,
,Rúben Rodrigues,Centre-Forward,"Jun 2, 1987 ",37,Portugal,Portugal,Ponta Delgada,"1,78",-,Striker,SS   LW,Portugal,,SS,LW
,Bruno Moreira,Centre-Forward,"Sep 6, 1987 ",36,Portugal,Portugal,Vila Nova de Famalicao,"1,85",-,Striker,,Portugal,,,
,André Martins,Centre-Forward,"Mar 26, 1987 ",37,Portugal,Portugal,Ferreira do Alentejo,"1,80",-,Striker,AM   RW,Portugal,,AM,RW
,Hélder Guedes,Centre-Forward,"May 7, 1987 ",37,Portugal,Portugal,Penafiel,"1,84",-,Striker,SS   LW,Portugal,,SS,LW
,Zequinha,Centre-Forward,"Jan 7, 1987 ",37,Portugal,Portugal,Setubal,"1,83",€25k,Striker,RW   LW,Portugal,,RW,LW
,Henrique,Centre-Forward,"Mar 24, 1987 ",37,Portugal,Portugal,Maia,,-,Striker,,Portugal,,,
,Pedro Augusto,Centre-Forward,"Feb 21, 1987 ",37,Portugal,Portugal,Lisboa,"1,82",-,Striker,,Portugal,,,
,Magina,Centre-Forward,"Aug 29, 1987 ",36,Portugal,Portugal,Angra do Heroismo,"1,84",-,Striker,,Portugal,,,
7.0,Luís Cardoso,Centre-Forward,"Oct 26, 1987 ",36,Portugal,Portugal,Viseu,,-,Striker,,Portugal,,,
9.0,Horácio,Centre-Forward,"Jan 7, 1987 ",37,Portugal,Portugal,Ovar,"1,84",-,Striker,,Portugal,,,
7.0,Ricardo Queirós,Centre-Forward,"Oct 20, 1987 ",36,Portugal,Portugal,Praia da Vitoria,"1,79",-,Striker,RW   LW,Portugal,,RW,LW
,Ricardo Santos,Centre-Forward,"Jun 21, 1987 ",37,Portugal,Portugal,Trofa,"1,78",-,Striker,,Portugal,,,
,Manuel Pinto,Centre-Forward,"Jun 26, 1987 ",37,Portugal,Portugal,Pacos de Brandao,"1,85",-,Striker,RW   LW,Portugal,,RW,LW
,Tozé Marreco,Centre-Forward,"Jul 25, 1987 ",36,Portugal,Portugal,Miranda do Corvo,"1,83",-,Striker,,Portugal,,,
,Nuno Carvalho,Centre-Forward,"Jan 9, 1987 ",37,"Portugal, Spain",Portugal,Amarante,"1,81",-,Striker,,Portugal, Spain,,
,Tomané,Centre-Forward,"Jan 15, 1987 ",37,Portugal,Portugal,Oliveira do Hospital,"1,78",-,Striker,RW,Portugal,,RW,
,Diogo Tavares,Centre-Forward,"Jul 29, 1987 ",36,Portugal,Portugal,Lissabon,"1,85",-,Striker,,Portugal,,,
,Hugo Firmino,Centre-Forward,"Dec 22, 1988 ",35,Portugal,Portugal,Lisboa,"1,85",€75k,Striker,RW   LW,Portugal,,RW,LW
,João Tiago,Centre-Forward,"Mar 26, 1988 ",36,Portugal,Portugal,Foz do Sousa,,-,Striker,,Portugal,,,
,Ricardo Nogueira,Centre-Forward,"Jun 23, 1988 ",36,Portugal,Portugal,Fafe,"1,81",-,Striker,,Portugal,,,
,Fábio Pimenta,Centre-Forward,"Sep 20, 1988 ",35,Portugal,Portugal,Barcelos,"1,90",-,Striker,,Portugal,,,
,Rui Capitão-Mor,Centre-Forward,"Sep 26, 1988 ",35,Portugal,Portugal,Barreiro,"1,90",-,Striker,,Portugal,,,
,Diamantino Ramos,Centre-Forward,"May 26, 1988 ",36,Portugal,Portugal,,,-,Striker,,Portugal,,,
,Valdemar Mané,Centre-Forward,"Apr 22, 1988 ",36,Portugal,Portugal,Lisboa,"1,86",-,Striker,,Portugal,,,
,Bandeira,Centre-Forward,"Dec 20, 1988 ",35,Portugal,Portugal,Coimbra,,-,Striker,RW,Portugal,,RW,
,Tiago Cabral,Centre-Forward,"Aug 19, 1988 ",35,Portugal,Portugal,Lisboa,"1,78",-,Striker,,Portugal,,,
,Carlos Karajy,Centre-Forward,"Dec 31, 1988 ",35,Portugal,Portugal,Paredes,"1,82",-,Striker,RW,Portugal,,RW,
9.0,Tanela,Centre-Forward,"Oct 15, 1988 ",35,Portugal,Portugal,Braga,"1,85",-,Striker,LW,Portugal,,LW,
9.0,Camilo,Centre-Forward,"Sep 27, 1988 ",35,Portugal,Portugal,Carnide,"1,77",-,Striker,,Portugal,,,
,Jonas,Centre-Forward,"Aug 31, 1988 ",35,Portugal,Portugal,Felgueiras,"1,85",-,Striker,,Portugal,,,
17.0,Roberto,Centre-Forward,"Nov 28, 1988 ",35,Portugal,Portugal,Porto,"1,80",€75k,Striker,SS   RW,Portugal,,SS,RW
,André Coutinho,Centre-Forward,"Sep 26, 1988 ",35,Portugal,Portugal,Peso da Regua,"1,83",-,Striker,,Portugal,,,
9.0,Cristiano Vasconcelos,Centre-Forward,"Sep 25, 1988 ",35,Portugal,Portugal,Funchal,"1,75",-,Striker,LW   SS,Portugal,,LW,SS
,Óscar Lopes,Centre-Forward,"Dec 18, 1988 ",35,Portugal,Portugal,Aveiro,"1,86",-,Striker,,Portugal,,,
,Fábio Gomes,Centre-Forward,"Sep 21, 1988 ",35,"Portugal, Cape Verde",Portugal,Lisboa,"1,90",-,Striker,LW,Portugal, Cape Verde,LW,
21.0,Marocas,Centre-Forward,"Feb 17, 1988 ",36,Portugal,Portugal,Albufeira,"1,91",-,Striker,,Portugal,,,
23.0,Tiago Penantes,Centre-Forward,"Feb 24, 1988 ",36,Portugal,Portugal,Porto,,-,Striker,LW   RW,Portugal,,LW,RW
,Bruno Anciães,Centre-Forward,"Apr 1, 1988 ",36,"Portugal, Angola",Portugal,Porto,"1,80",-,Striker,RW   LW,Portugal, Angola,RW,LW
9.0,Filipe Sorrilha,Centre-Forward,"Mar 23, 1988 ",36,Portugal,Portugal,Viseu,"1,83",-,Striker,LW,Portugal,,LW,
11.0,Man-Hou Ho,Centre-Forward,"Nov 5, 1988 ",35,Macao,Portugal,Macao,"1,71",-,Striker,,Macao,,,
,Marcelo Santiago,Centre-Forward,"Mar 18, 1988 ",36,Portugal,Portugal,S. Joao de Loure,"1,90",-,Striker,,Portugal,,,
9.0,Pedro Correia,Centre-Forward,"Nov 3, 1988 ",35,Portugal,Portugal,Vila Nova de Famalicao,"1,90",-,Striker,,Portugal,,,
,Miguel Vieira,Centre-Forward,"Dec 3, 1988 ",35,Portugal,Portugal,Porto,"1,73",-,Striker,SS,Portugal,,SS,
,Pedro Ribeiro,Centre-Forward,"May 24, 1988 ",36,Portugal,Portugal,Mealhada,"1,86",-,Striker,,Portugal,,,
,Orlando Sá,Centre-Forward,"May 26, 1988 ",36,Portugal,Portugal,Barcelos,"1,88",-,Striker,,Portugal,,,
10.0,Hugo Vieira,Centre-Forward,"Jul 25, 1988 ",35,Portugal,Portugal,Barcelos,"1,78",-,Striker,SS   RW,Portugal,,SS,RW
,Nandinho,Centre-Forward,"Dec 28, 1988 ",35,Portugal,Portugal,Lousada,"1,88",-,Striker,,Portugal,,,
